YEAR,KID,FID,MID,YBIRTH_M,YMAR,YDIV,YSEP,YBIRTH_F,UD_year,JC_year,edH,edW,F_hrs,F_earn,F_wage,M_hrs,M_earn,M_wage,exp,exp1,exp2,F_AGE,M_AGE,SEP,DIV,TSD,TSS,L,YBIRTH,LW_std,LW_raw,PC_std,PC_raw,AP_std,AP_raw,DigSpan,BPE,BPN,tau_m,tau_f,AGE,PHI_M,PHI_F,dgroup,sgroup
1997,517033,517172,517005,1965,1990,9999,9999,1959,9999,1991,1,1,2112,48270.61205419716,22.858816508332033,1764,34325.76857187354,19.458420059180813,NA,10,9,38,32,FALSE,FALSE,-8002,-8002,1,1993,109,13,NA,NA,93,11,8,4,2,14.1666666666667,33.8333333333333,4,0.1814449917898198,0.47395833333333287,1,1
2002,517033,517172,517005,1965,1990,9999,9999,1959,9999,1991,1,1,1841,6509.841160412973,3.5360353940320333,2065,44994.490373442604,21.789099454451627,NA,14,13,43,37,FALSE,FALSE,-7997,-7997,1,1993,105,42,110,25,128,40,15,2,4,14.7333333333333,27.5,9,0.2038130708521765,0.35902585990459457,1,1
2007,517033,517172,517005,1965,1990,9999,9999,1959,9999,1991,1,1,2340,56471.641330349565,24.133180055704976,2340,51488.8494482599,22.00378181549569,NA,19,18,48,42,FALSE,FALSE,-7992,-7992,1,1993,120,53,102,30,136,53,21,2,2,9.11666666666667,7.16666666666667,14,0.1360696517412936,0.10696517412935327,1,1
1997,517034,517172,517005,1965,1990,9999,9999,1959,9999,1991,1,1,2112,48270.61205419716,22.858816508332033,1764,34325.76857187354,19.458420059180813,NA,10,9,38,32,FALSE,FALSE,-8002,-8002,1,1995,NA,NA,NA,NA,NA,NA,NA,2,0,16.5833333333333,28.0833333333333,2,0.21239737274219989,0.39340876436781563,1,1
2002,517034,517172,517005,1965,1990,9999,9999,1959,9999,1991,1,1,1841,6509.841160412973,3.5360353940320333,2065,44994.490373442604,21.789099454451627,NA,14,13,43,37,FALSE,FALSE,-7997,-7997,1,1995,100,30,121,21,139,35,13,1,0,17.1666666666667,19.8333333333333,7,0.23747450563093064,0.25893380199179805,1,1
2007,517034,517172,517005,1965,1990,9999,9999,1959,9999,1991,1,1,2340,56471.641330349565,24.133180055704976,2340,51488.8494482599,22.00378181549569,NA,19,18,48,42,FALSE,FALSE,-7992,-7992,1,1995,101,46,95,25,131,47,16,1,0,4.98333333333333,4.83333333333333,12,0.07437810945273626,0.07213930348258701,1,1
1997,534032,534171,534031,1970,1989,9999,9999,1968,1972,1980,0,1,2340,40761.85017909983,17.42032755022582,1344,7508.761875097337,5.58866419560816,NA,6,5,29,27,FALSE,FALSE,-8002,-8002,2,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.0166666666667,0,2,1.0796577380952384,0,1,1
2002,534032,534171,534031,1970,1989,9999,9999,1968,1972,1980,0,1,2395,33506.535384478535,13.990202665753044,1555,8903.165116447155,5.7255081134708385,NA,10.5,9,34,32,FALSE,FALSE,-7997,-7997,2,1995,115,33,110,16,99,25,9,3,1,34.8333333333333,41.5,7,0.42429921136878235,0.6293379994167395,1,1
2007,534032,534171,534031,1970,1989,9999,9999,1968,1972,1980,0,1,2600,58963.0372713944,22.67809125822861,1664,9965.583764179335,5.988932550588541,NA,15.5,14,39,37,FALSE,FALSE,-7992,-7992,2,1995,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,12,NA,NA,1,1
1997,548036,548008,548175,1959,1977,9999,9999,1957,1972,1981,0,0,2500,75087.61875097337,30.035047500389346,680,7508.761875097337,11.037879956393084,NA,8.5,3,40,38,FALSE,FALSE,-8002,-8002,2,1986,137,52,142,36,158,49,18,7,4,17.8333333333333,19.9166666666667,11,0.18027475375842372,0.3115724027276379,1,1
2002,548036,548008,548175,1959,1977,9999,9999,1957,1972,1981,0,0,3450,85106.59987657548,24.668579674369706,261,7275.704826343911,27.876263702467092,NA,10.5,3,45,43,FALSE,FALSE,-7997,-7997,2,1986,130,55,128,37,124,52,25,9,5,11.8333333333333,5.08333333333333,16,0.11061178021451225,0.11134512777309737,1,1
2007,548036,548008,548175,1959,1977,9999,9999,1957,1972,1981,0,0,3120,74741.87823134502,23.955730202354133,NA,NA,NA,NA,NA,NA,50,48,FALSE,FALSE,-7992,-7992,2,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,1,1
1997,548037,548009,548182,1964,1987,9999,9999,1960,1972,1981,0,1,2250,85814.42142968385,38.14451032549447,0,0,NA,NA,10,9,37,33,FALSE,FALSE,-8002,-8002,2,1994,101,4,NA,NA,138,15,NA,10,5,32.05,37.6833333333333,3,0.28616071428571427,0.5482745756388729,1,1
2002,548037,548009,548182,1964,1987,9999,9999,1960,1972,1981,0,1,2120,52653.12703275199,24.83638067582641,208,3829.31832965469,18.41018427718601,NA,12,9,42,38,FALSE,FALSE,-7997,-7997,2,1994,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,8,NA,NA,1,1
2007,548037,548009,548182,1964,1987,9999,9999,1960,1972,1981,0,1,2080,80555.1354271163,38.728430493805924,0,0,NA,NA,14,9,47,43,FALSE,FALSE,-7992,-7992,2,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,1,1
1997,548038,548009,548182,1964,1987,9999,9999,1960,1972,1981,0,1,2250,85814.42142968385,38.14451032549447,0,0,NA,NA,10,9,37,33,FALSE,FALSE,-8002,-8002,2,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.9166666666667,16.75,1,0.6153273809523813,0.24370453273642978,1,1
2002,548038,548009,548182,1964,1987,9999,9999,1960,1972,1981,0,1,2120,52653.12703275199,24.83638067582641,208,3829.31832965469,18.41018427718601,NA,12,9,42,38,FALSE,FALSE,-7997,-7997,2,1996,NA,NA,NA,NA,NA,NA,NA,10,4,NA,NA,6,NA,NA,1,1
2007,548038,548009,548182,1964,1987,9999,9999,1960,1972,1981,0,1,2080,80555.1354271163,38.728430493805924,0,0,NA,NA,14,9,47,43,FALSE,FALSE,-7992,-7992,2,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,1,1
1997,556036,556030,556174,1974,1993,9999,9999,1971,1970,1987,0,0,2000,26817.006696776203,13.408503348388102,1050,5363.40133935524,5.105958075066189,NA,4.5,4,26,23,FALSE,FALSE,-8002,-8002,2,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.75,28.0833333333333,2,0.4438625890238794,0.3818863319386327,1,1
2002,556036,556030,556174,1974,1993,9999,9999,1971,1970,1987,0,0,2104,40207.842461374246,19.110191283923122,2000,57439.77494482035,28.719887472410175,NA,5.5,5,31,28,FALSE,FALSE,-7997,-7997,2,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,1
2007,556036,556030,556174,1974,1993,9999,9999,1971,1970,1987,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,33,FALSE,FALSE,-7992,-7992,2,1995,NA,NA,NA,NA,NA,NA,NA,1,0,2.66666666666667,0,12,NA,NA,1,1
1997,556037,556033,556177,1976,1997,2012,2010,1978,1970,1987,0,0,2025,6436.081607226289,3.175133592898302,1430,10726.80267871048,7.498035072418626,NA,1.5,1,19,21,FALSE,FALSE,-15,-13,2,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5833333333333,18.0833333333333,0,0.6814595660749503,0.24752127752917388,3,3
2002,556037,556033,556177,1976,1997,2012,2010,1978,1970,1987,0,0,2598,35421.19454930588,13.634024075945296,520,2489.0569142755485,4.7866479120683625,NA,4,3,24,26,FALSE,FALSE,-10,-8,2,1997,107,19,NA,NA,103,21,14,7,0,26.9166666666667,0,5,0.26388888888888923,0,3,3
2007,556037,556033,556177,1976,1997,2012,2010,1978,1970,1987,0,0,2600,49827.91882089667,19.164584161883358,0,0,NA,NA,4,3,29,31,FALSE,FALSE,-5,-3,2,1997,118,47,121,30,108,35,10,4,1,25.4833333333333,14.2333333333333,10,0.2275297619047616,0.22956989247311774,3,3
1997,565032,565173,565004,1961,1982,9999,9999,1960,1973,1983,1,1,2880,139448.43482323625,48.420787291699114,0,0,NA,NA,10,8,37,36,FALSE,FALSE,-8002,-8002,2,1990,NA,NA,NA,NA,NA,NA,NA,10,8,NA,NA,7,NA,NA,1,1
2002,565032,565173,565004,1961,1982,9999,9999,1960,1973,1983,1,1,2940,143599.43736205087,48.843346041513904,0,0,NA,NA,10,8,42,41,FALSE,FALSE,-7997,-7997,2,1990,107,47,101,26,99,36,10,6,8,24.7333333333333,21.75,12,0.22083333333333302,0.3921636615811373,1,1
2007,565032,565173,565004,1961,1982,9999,9999,1960,1973,1983,1,1,3380,232530.28783085116,68.79594314522221,0,0,NA,NA,11,8,47,46,FALSE,FALSE,-7992,-7992,2,1990,101,51,87,26,108,46,14,3,3,15.3333333333333,22,17,0.1369047619047616,0.46808510638297873,1,1
1997,565034,565173,565004,1961,1982,9999,9999,1960,1973,1983,1,1,2880,139448.43482323625,48.420787291699114,0,0,NA,NA,10,8,37,36,FALSE,FALSE,-8002,-8002,2,1995,NA,NA,NA,NA,NA,NA,NA,9,4,NA,NA,2,NA,NA,1,1
2002,565034,565173,565004,1961,1982,9999,9999,1960,1973,1983,1,1,2940,143599.43736205087,48.843346041513904,0,0,NA,NA,10,8,42,41,FALSE,FALSE,-7997,-7997,2,1995,111,33,120,20,111,28,8,10,5,28.8166666666667,17.3333333333333,7,0.257291666666667,0.31252889505316633,1,1
2007,565034,565173,565004,1961,1982,9999,9999,1960,1973,1983,1,1,3380,232530.28783085116,68.79594314522221,0,0,NA,NA,11,8,47,46,FALSE,FALSE,-7992,-7992,2,1995,99,45,93,24,125,45,13,9,4,27.9166666666667,28.0833333333333,12,0.2492559523809527,0.5975177304964532,1,1
1997,570035,570171,570008,1958,1978,9999,9999,1957,1971,1997,0,0,2340,36471.129107615634,15.586044292166328,2600,26817.006696776203,10.319184176919482,NA,20,19,40,39,FALSE,FALSE,-8002,-8002,2,1984,91,42,88,23,94,35,16,5,5,9.91666666666667,3.5,13,0.15994623655913984,0.05223880597014925,1,1
2002,570035,570171,570008,1958,1978,9999,9999,1957,1971,1997,0,0,2910,31591.876219651193,10.856314852113812,2250,26805.22830758283,11.913434803370146,NA,25,24,45,44,FALSE,FALSE,-7997,-7997,2,1984,84,45,86,26,86,37,11,1,2,0.5,1.25,18,0.00727476217123671,0.02230610844200412,1,1
2007,570035,570171,570008,1958,1978,9999,9999,1957,1971,1997,0,0,1664,43184.19631144379,25.952041052550353,2080,27405.355351493174,13.175651611294782,NA,30,29,50,49,FALSE,FALSE,-7992,-7992,2,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,1,1
1997,570036,570171,570008,1958,1978,9999,9999,1957,1971,1997,0,0,2340,36471.129107615634,15.586044292166328,2600,26817.006696776203,10.319184176919482,NA,20,19,40,39,FALSE,FALSE,-8002,-8002,2,1993,112,11,NA,NA,96,9,6,8,3,4.58333333333333,3.33333333333333,4,0.07392473118279565,0.049751243781094474,1,1
2002,570036,570171,570008,1958,1978,9999,9999,1957,1971,1997,0,0,2910,31591.876219651193,10.856314852113812,2250,26805.22830758283,11.913434803370146,NA,25,24,45,44,FALSE,FALSE,-7997,-7997,2,1993,107,42,112,24,108,33,16,7,4,10.0666666666667,2.5,9,0.1464652117142329,0.04461221688400824,1,1
2007,570036,570171,570008,1958,1978,9999,9999,1957,1971,1997,0,0,1664,43184.19631144379,25.952041052550353,2080,27405.355351493174,13.175651611294782,NA,30,29,50,49,FALSE,FALSE,-7992,-7992,2,1993,105,50,107,31,98,39,13,3,1,1.48333333333333,4.16666666666667,14,0.020601851851851805,0.05208333333333337,1,1
1997,573033,573171,573004,1960,1982,9999,9999,1958,1972,1981,1,1,2080,60606.435134714215,29.133996075377667,780,9117.782276903908,11.692214919794425,NA,7.5,2,39,37,FALSE,FALSE,-8002,-8002,2,1987,142,52,114,26,101,31,16,3,8,9.18333333333333,15.4166666666667,10,0.09467353951890031,0.21412037037037082,1,1
2002,573033,573171,573004,1960,1982,9999,9999,1958,1972,1981,1,1,3568,86159.66241723053,24.14788744877537,510,5054.700195144191,9.911176853223903,NA,10.5,3,44,42,FALSE,FALSE,-7997,-7997,2,1987,121,54,112,33,104,44,19,7,8,9.58333333333333,10.0833333333333,15,0.09377744323171494,0.23241725768321436,1,1
2007,573033,573171,573004,1960,1982,9999,9999,1958,1972,1981,1,1,3016,87198.85793656918,28.91208817525507,1040,16609.306273632224,15.970486801569423,NA,13.5,4,49,47,FALSE,FALSE,-7992,-7992,2,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1
1997,573035,573171,573004,1960,1982,9999,9999,1958,1972,1981,1,1,2080,60606.435134714215,29.133996075377667,780,9117.782276903908,11.692214919794425,NA,7.5,2,39,37,FALSE,FALSE,-8002,-8002,2,1989,111,28,125,19,103,23,8,10,4,7.96666666666667,19.5,8,0.0821305841924399,0.2708333333333333,1,1
2002,573035,573171,573004,1960,1982,9999,9999,1958,1972,1981,1,1,3568,86159.66241723053,24.14788744877537,510,5054.700195144191,9.911176853223903,NA,10.5,3,44,42,FALSE,FALSE,-7997,-7997,2,1989,122,52,116,31,105,40,13,9,3,15.3333333333333,15.3333333333333,13,0.15004390917074362,0.3534278959810867,1,1
2007,573035,573171,573004,1960,1982,9999,9999,1958,1972,1981,1,1,3016,87198.85793656918,28.91208817525507,1040,16609.306273632224,15.970486801569423,NA,13.5,4,49,47,FALSE,FALSE,-7992,-7992,2,1989,150,56,94,30,98,43,NA,12,12,0,0,18,0,0,1,1
1997,582032,582003,582173,1955,1982,9999,9999,1950,9999,9999,1,1,2340,91177.82276903909,38.959747329076464,0,0,NA,NA,10,5,47,42,FALSE,FALSE,-8002,-8002,1,1986,111,45,120,30,138,44,18,5,3,23.5,20.3333333333333,11,0.20982142857142858,0.3034825870646761,1,1
2002,582032,582003,582173,1955,1982,9999,9999,1950,9999,9999,1,1,2083,90946.31032929888,43.66121475242385,0,0,NA,NA,10,5,52,47,FALSE,FALSE,-7997,-7997,1,1986,95,49,110,34,133,55,20,4,1,13.0833333333333,13.65,16,0.1168154761904759,0.1897353648757017,1,1
2007,582032,582003,582173,1955,1982,9999,9999,1950,9999,9999,1,1,2340,94673.04575970369,40.45856656397592,832,2491.3959410448338,2.9944662752942706,NA,11,5,57,52,FALSE,FALSE,-7992,-7992,1,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,1,1
1997,582033,582003,582173,1955,1982,9999,9999,1950,9999,9999,1,1,2340,91177.82276903909,38.959747329076464,0,0,NA,NA,10,5,47,42,FALSE,FALSE,-8002,-8002,1,1988,94,33,115,24,124,34,18,2,0,28.9166666666667,7.91666666666667,9,0.2581845238095241,0.11815920398009955,1,1
2002,582033,582003,582173,1955,1982,9999,9999,1950,9999,9999,1,1,2083,90946.31032929888,43.66121475242385,0,0,NA,NA,10,5,52,47,FALSE,FALSE,-7997,-7997,1,1988,96,48,120,34,127,51,20,0,0,16.5,0,14,0.14732142857142858,0,1,1
2007,582033,582003,582173,1955,1982,9999,9999,1950,9999,9999,1,1,2340,94673.04575970369,40.45856656397592,832,2491.3959410448338,2.9944662752942706,NA,11,5,57,52,FALSE,FALSE,-7992,-7992,1,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,1,1
1997,593030,593171,593004,1962,1990,9999,9999,1962,1970,1980,1,1,2500,107268.02678710481,42.90721071484192,980,27889.68696464725,28.45820750661891,NA,10.5,8,35,35,FALSE,FALSE,-8002,-8002,2,1992,108,12,NA,NA,97,12,7,4,3,33.6666666666667,8.5,5,0.36140930360583573,0.13297232250300842,1,1
2002,593030,593171,593004,1962,1990,9999,9999,1962,1970,1980,1,1,3108,0,NA,1604,71799.71868102544,44.76291688343232,NA,15,12,40,40,FALSE,FALSE,-7997,-7997,2,1992,125,49,113,26,127,40,14,7,2,36.4166666666667,22.9166666666667,10,0.44873617693522944,0.43875797741777184,1,1
2007,593030,593171,593004,1962,1990,9999,9999,1962,1970,1980,1,1,3380,66437.2250945289,19.65598375577775,1404,58132.57195771279,41.40496578184675,NA,20,17,45,45,FALSE,FALSE,-7992,-7992,2,1992,125,54,128,36,135,53,16,5,2,8.71666666666667,6.06666666666667,15,0.10254901960784318,0.12907801418439724,1,1
1997,593033,593171,593004,1962,1990,9999,9999,1962,1970,1980,1,1,2500,107268.02678710481,42.90721071484192,980,27889.68696464725,28.45820750661891,NA,10.5,8,35,35,FALSE,FALSE,-8002,-8002,2,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8166666666667,4,1,0.39522433250756983,0.06257521058965103,1,1
2002,593033,593171,593004,1962,1990,9999,9999,1962,1970,1980,1,1,3108,0,NA,1604,71799.71868102544,44.76291688343232,NA,15,12,40,40,FALSE,FALSE,-7997,-7997,2,1996,109,22,103,7,129,28,9,0,0,33.5,33.5833333333333,6,0.4127962085308057,0.642979872361315,1,1
2007,593033,593171,593004,1962,1990,9999,9999,1962,1970,1980,1,1,3380,66437.2250945289,19.65598375577775,1404,58132.57195771279,41.40496578184675,NA,20,17,45,45,FALSE,FALSE,-7992,-7992,2,1996,116,48,112,29,144,48,15,6,1,28.3333333333333,9.41666666666667,11,0.3333333333333329,0.20035460992907808,1,1
1997,593031,593003,593170,1960,1985,9999,9999,1961,1992,1981,1,1,2496,58997.414732907644,23.6418731038779,2080,42907.21071484192,20.627641551160256,NA,13,13,36,37,FALSE,FALSE,-8002,-8002,2,1994,102,4,NA,NA,131,12,3,2,2,10.65,21.25,3,0.14791666666666667,0.33203125,1,1
2002,593031,593003,593170,1960,1985,9999,9999,1961,1992,1981,1,1,2390,72757.04826343911,30.442279608133518,0,26412.723178793225,NA,NA,17,17,41,42,FALSE,FALSE,-7997,-7997,2,1994,136,50,129,29,137,39,12,11,9,23.6666666666667,14.5,8,0.2113095238095241,0.2195690157251019,1,1
2007,593031,593003,593170,1960,1985,9999,9999,1961,1992,1981,1,1,2340,83046.53136816113,35.4899706701543,936,24913.959410448337,26.617478002615705,NA,18,17,46,47,FALSE,FALSE,-7992,-7992,2,1994,115,51,117,32,142,52,14,5,5,20.5666666666667,14.4166666666667,13,0.2187943262411351,0.21517412935323432,1,1
1997,602034,602030,602172,1972,1988,9999,9999,1968,1971,1982,0,0,1000,15017.523750194674,15.017523750194673,NA,NA,NA,NA,NA,NA,29,25,FALSE,FALSE,-8002,-8002,2,1989,105,32,112,19,119,29,15,2,1,0,0,8,NA,0,1,1
2002,602034,602030,602172,1972,1988,9999,9999,1968,1971,1982,0,0,2340,21061.250813100796,9.000534535513161,NA,NA,NA,NA,NA,NA,34,30,FALSE,FALSE,-7997,-7997,2,1989,98,47,94,25,93,36,19,1,2,22.6666666666667,0,13,NA,0,1,1
2007,602034,602030,602172,1972,1988,9999,9999,1968,1971,1982,0,0,2340,49827.91882089667,21.293982402092563,NA,NA,NA,NA,NA,NA,39,35,FALSE,FALSE,-7992,-7992,2,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,1,1
1997,605031,605170,605003,1965,1992,9999,9999,1958,9999,1988,1,1,2250,48270.61205419716,21.45360535742096,2500,42907.21071484192,17.16288428593677,NA,6,6,39,32,FALSE,FALSE,-8002,-8002,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,26.6666666666667,1,0.2190132370637786,0.3879873157992917,1,1
2002,605031,605170,605003,1965,1992,9999,9999,1958,9999,1988,1,1,2277,64141.08202171606,28.16911814743788,2550,65098.41160412973,25.5287888643646,NA,11,11,44,37,FALSE,FALSE,-7997,-7997,1,1996,118,24,0,NA,118,24,13,8,1,17.3333333333333,13.4166666666667,6,0.27530034616167737,0.1966920402217842,1,1
2007,605031,605170,605003,1965,1992,9999,9999,1958,9999,1988,1,1,2080,67427.97021375106,32.41729337199574,3120,65460.59788563933,20.980960860781867,NA,16,16,49,42,FALSE,FALSE,-7992,-7992,1,1996,112,46,106,27,122,40,15,10,5,43.25,18.75,11,0.8317307692307693,0.2604166666666667,1,1
1997,610033,610003,610173,1968,1987,1991,1990,1965,1973,1987,0,0,2070,21453.60535742096,10.362091387634324,2080,NA,NA,NA,8,7,32,29,TRUE,TRUE,6,7,2,1987,NA,NA,NA,NA,NA,NA,NA,11,3,6.13333333333333,0.416666666666667,10,0.08518518518518514,0.0057716213816373695,2,2
2002,610033,610003,610173,1968,1987,1991,1990,1965,1973,1987,0,0,NA,NA,NA,1748,24890.569142755485,14.239456031324648,NA,13,12,37,34,TRUE,TRUE,11,12,2,1987,97,49,80,21,98,41,20,13,4,0,0,15,0,NA,2,2
2007,610033,610003,610173,1968,1987,1991,1990,1965,1973,1987,0,0,1040,21592.098155721895,20.76163284204028,NA,NA,NA,NA,17,16,42,39,TRUE,TRUE,16,17,2,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,2
1997,613031,613174,613005,1960,1990,9999,9999,1959,1970,1980,1,1,2080,35398.44883974459,17.023435851113533,0,0,NA,NA,9.5,9,38,37,FALSE,FALSE,-8002,-8002,2,1993,108,7,NA,NA,113,10,4,4,0,57.25,18.1666666666667,4,0.5111607142857143,0.25231481481481527,1,1
2002,613031,613174,613005,1960,1990,9999,9999,1959,1970,1980,1,1,1992,43079.831208615265,21.62642128946549,0,0,NA,NA,9.5,9,43,42,FALSE,FALSE,-7997,-7997,2,1993,131,50,109,24,125,38,17,3,1,29.5,26.5,9,0.26339285714285715,0.3596033402922756,1,1
2007,613031,613174,613005,1960,1990,9999,9999,1959,1970,1980,1,1,2080,49827.91882089667,23.955730202354133,0,0,NA,NA,9.5,9,48,47,FALSE,FALSE,-7992,-7992,2,1993,123,53,132,36,118,46,16,2,0,12.25,9.5,14,0.109375,0.13194444444444445,1,1
1997,620033,620171,620004,1955,1981,9999,9999,1955,9999,1991,0,1,3185,193082.44821678865,60.61716193739293,800,9654.122410839433,12.067653013549291,NA,5,2,42,42,FALSE,FALSE,-8002,-8002,1,1986,104,44,136,35,128,42,11,5,3,21.6666666666667,23.6666666666667,11,0.22425690021231456,0.46633825944170837,1,1
2002,620033,620171,620004,1955,1981,9999,9999,1955,9999,1991,0,1,2624,191465.9164827345,72.96719378152991,983,15317.27331861876,15.582170212226613,NA,7.5,2,47,47,FALSE,FALSE,-7997,-7997,1,1986,148,56,115,35,123,52,22,2,1,11.5166666666667,4.65,16,0.12370722302554604,0.0755625,1,1
2007,620033,620171,620004,1955,1981,9999,9999,1955,9999,1991,0,1,2860,157788.40959950615,55.17077258723988,1248,12456.979705224168,9.981554250980931,NA,12,6,52,52,FALSE,FALSE,-7992,-7992,1,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,1,1
1997,620035,620171,620004,1955,1981,9999,9999,1955,9999,1991,0,1,3185,193082.44821678865,60.61716193739293,800,9654.122410839433,12.067653013549291,NA,5,2,42,42,FALSE,FALSE,-8002,-8002,1,1990,117,34,119,20,110,26,6,0,0,28.6666666666667,24.1666666666667,7,0.2967091295116776,0.47619047619047683,1,1
2002,620035,620171,620004,1955,1981,9999,9999,1955,9999,1991,0,1,2624,191465.9164827345,72.96719378152991,983,15317.27331861876,15.582170212226613,NA,7.5,2,47,47,FALSE,FALSE,-7997,-7997,1,1990,134,54,125,33,133,49,18,2,0,20.1666666666667,11.1666666666667,12,0.21662191007367662,0.18145833333333386,1,1
2007,620035,620171,620004,1955,1981,9999,9999,1955,9999,1991,0,1,2860,157788.40959950615,55.17077258723988,1248,12456.979705224168,9.981554250980931,NA,12,6,52,52,FALSE,FALSE,-7992,-7992,1,1990,127,55,125,38,122,52,14,3,4,1.83333333333333,0,17,0.020833333333333294,0,1,1
1997,620037,620173,620006,1960,1985,9999,9999,1959,9999,1991,1,1,2450,66506.17660800499,27.149537579816226,1000,39689.16991122878,39.68916991122878,NA,9.5,6,38,37,FALSE,FALSE,-8002,-8002,1,1991,99,16,115,10,115,22,9,10,4,7.25,9,6,0.07815091210613598,0.13870776526378187,1,1
2002,620037,620173,620006,1960,1985,9999,9999,1959,9999,1991,1,1,2400,119666.19780170906,49.86091575071211,624,27762.5578899965,44.49127866986618,NA,11.5,6,43,42,FALSE,FALSE,-7997,-7997,1,1991,116,49,115,30,130,45,15,5,5,22.25,30.5,11,0.2225,0.4632009345794393,1,1
2007,620037,620173,620006,1960,1985,9999,9999,1959,9999,1991,1,1,2340,116265.14391542558,49.68595893821604,1040,64776.29446716568,62.28489852612085,NA,16,10,48,47,FALSE,FALSE,-7992,-7992,1,1991,122,54,116,35,117,49,17,6,5,1.25,10.95,16,0.01358695652173913,0.16343283582089552,1,1
1997,620039,620173,620006,1960,1985,9999,9999,1959,9999,1991,1,1,2450,66506.17660800499,27.149537579816226,1000,39689.16991122878,39.68916991122878,NA,9.5,6,38,37,FALSE,FALSE,-8002,-8002,1,1994,99,4,NA,NA,101,6,2,NA,NA,22.75,6.75,3,0.24523217247097842,0.10403082394783639,1,1
2002,620039,620173,620006,1960,1985,9999,9999,1959,9999,1991,1,1,2400,119666.19780170906,49.86091575071211,624,27762.5578899965,44.49127866986618,NA,11.5,6,43,42,FALSE,FALSE,-7997,-7997,1,1994,98,35,118,23,138,38,9,10,6,20,18.5,8,0.2,0.28095794392523366,1,1
2007,620039,620173,620006,1960,1985,9999,9999,1959,9999,1991,1,1,2340,116265.14391542558,49.68595893821604,1040,64776.29446716568,62.28489852612085,NA,16,10,48,47,FALSE,FALSE,-7992,-7992,1,1994,96,45,103,29,120,45,15,6,6,5.41666666666667,1.91666666666667,13,0.05887681159420293,0.028606965174129403,1,1
1997,630033,630021,630171,1949,1980,9999,9999,1946,1973,1987,1,1,2820,96541.22410839432,34.229227347765146,1656,53634.013393552406,32.38421728702694,NA,15.5,14,51,48,FALSE,FALSE,-8002,-8002,2,1986,128,50,116,29,118,38,16,0,0,31.4166666666667,17.5,11,0.3919545745361488,0.3029294274300932,1,1
2002,630033,630021,630171,1949,1980,9999,9999,1946,1973,1987,1,1,2624,109916.75333440822,41.88900660610069,2184,79668.96784846582,36.478465132081425,NA,20.5,19,56,53,FALSE,FALSE,-7997,-7997,2,1986,118,54,99,31,117,50,24,0,0,7.33333333333333,5,16,0.10476190476190472,0.08125,1,1
2007,630033,630021,630171,1949,1980,9999,9999,1946,1973,1987,1,1,3120,99655.83764179335,31.94097360313893,2600,84707.46199552435,32.57979307520164,NA,25.5,24,61,58,FALSE,FALSE,-7992,-7992,2,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,1,1
1997,631035,631171,631004,1951,1975,1991,1990,1951,1973,1987,1,1,NA,48270.61205419716,NA,1248,NA,NA,NA,18,13,46,46,TRUE,TRUE,6,7,2,1985,NA,NA,NA,NA,NA,NA,NA,11,7,14.5,2.5,12,0.16477272727272727,NA,2,2
2002,631035,631171,631004,1951,1975,1991,1990,1951,1973,1987,1,1,2118,49781.13828551097,23.50384243886259,2477,25856.51469141088,10.438641377234914,NA,23,18,51,51,TRUE,TRUE,11,12,2,1985,126,55,111,35,134,56,21,5,0,NA,NA,17,NA,NA,2,2
2007,631035,631171,631004,1951,1975,1991,1990,1951,1973,1987,1,1,2080,53980.245389304735,25.952041052550353,1560,23253.028783085116,14.90578768146486,NA,27,21,56,56,TRUE,TRUE,16,17,2,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,2,2
