KID,YEAR,MID,FID,YBIRTH,YBIRTH_M,YMAR,YDIV,YSEP,YBIRTH_F,UD_year,JC_year,edH,edW,F_hrs,F_earn,F_wage,M_hrs,M_earn,M_wage,exp,exp1,exp2,F_AGE,M_AGE,SEP,DIV,TSD,TSS,L,LW_std,LW_raw,PC_std,PC_raw,AP_std,AP_raw,DigSpan,BPE,BPN,tau_m,tau_f,AGE,PHI_M,PHI_F,dgroup,sgroup
14032,2007,14003,14173,1992,1956,1991,9999,9999,1961,1970,1980,1,0,2600,50658.384134578286,19.483993897914758,1560,17439.771587313837,11.179340761098645,NA,28,22,46,51,FALSE,FALSE,-7992,-7992,2,107,51,143,39,138,54,22,4,1,25.5,27,15,0.31097560975609756,0.43548387096774194,1,1
14033,1997,14003,14173,1992,1956,1991,9999,9999,1961,1970,1980,1,0,2200,38616.48964335773,17.549049182370347,768,18235.564553807817,23.749141130665006,NA,20.5,17,36,41,FALSE,FALSE,-8002,-8002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1666666666667,10.0833333333333,5,0.42339135021097085,0.14468359087564336,1,1
14033,2002,14003,14173,1992,1956,1991,9999,9999,1961,1970,1980,1,0,2180,66055.7411865434,30.300798709423578,1255,18189.262065859777,14.493435909051616,NA,24,19,41,46,FALSE,FALSE,-7997,-7997,2,105,33,120,21,120,31,14,2,0,29.75,26.4166666666667,10,0.3385861238783104,0.3769667032564952,1,1
14033,2007,14003,14173,1992,1956,1991,9999,9999,1961,1970,1980,1,0,2600,50658.384134578286,19.483993897914758,1560,17439.771587313837,11.179340761098645,NA,28,22,46,51,FALSE,FALSE,-7992,-7992,2,108,48,119,32,106,39,17,0,0,13.6666666666667,11.1833333333333,15,0.16666666666666707,0.18037634408602096,1,1
14030,1997,14172,14004,1985,1966,1984,9999,9999,1963,1970,1980,0,0,2352,55779.3739292945,23.716960722628873,0,0,NA,NA,4,1,34,31,FALSE,FALSE,-8002,-8002,2,99,43,103,27,93,32,12,3,1,18,15.0833333333333,12,0.16071428571428573,0.22590245775729595,1,1
14030,2002,14172,14004,1985,1966,1984,9999,9999,1963,1970,1980,0,0,2220,57439.77494482035,25.873772497666824,1974,19621.42712115063,9.939932685486642,NA,5.5,2,39,36,FALSE,FALSE,-7997,-7997,2,96,50,101,32,91,39,14,3,0,0,8.83333333333333,17,0,0.12745098039215683,1,1
14030,2007,14172,14004,1985,1966,1984,9999,9999,1963,1970,1980,0,0,0,0,NA,2080,29066.285978856395,13.974175951373287,NA,10.5,7,44,41,FALSE,FALSE,-7992,-7992,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,1,1
14031,1997,14172,14004,1985,1966,1984,9999,9999,1963,1970,1980,0,0,2352,55779.3739292945,23.716960722628873,0,0,NA,NA,4,1,34,31,FALSE,FALSE,-8002,-8002,2,98,36,108,22,110,31,13,8,2,19.5833333333333,2.5,12,0.1748511904761902,0.03744239631336405,1,1
14031,2002,14172,14004,1985,1966,1984,9999,9999,1963,1970,1980,0,0,2220,57439.77494482035,25.873772497666824,1974,19621.42712115063,9.939932685486642,NA,5.5,2,39,36,FALSE,FALSE,-7997,-7997,2,96,48,99,29,97,40,16,4,3,28,22.25,17,0.3781818181818181,0.32103218645948944,1,1
14031,2007,14172,14004,1985,1966,1984,9999,9999,1963,1970,1980,0,0,0,0,NA,2080,29066.285978856395,13.974175951373287,NA,10.5,7,44,41,FALSE,FALSE,-7992,-7992,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,1,1
18038,1997,18170,18003,1980,1955,1975,1994,1993,1956,1970,1980,0,0,2500,64360.81607226289,25.744326428905154,2080,48270.61205419716,23.20207419405077,NA,17.5,15,41,42,TRUE,TRUE,3,4,2,119,48,103,26,111,37,14,5,5,42.6833333333333,0,17,0.5928240740740737,0,2,2
18038,2002,18170,18003,1980,1955,1975,1994,1993,1956,1970,1980,0,0,3120,42651.90488527635,13.67048233502447,1882,23894.946377045264,12.696570869843391,NA,21.5,18,46,47,TRUE,TRUE,8,9,2,116,54,96,30,97,42,18,1,1,5,0,22,0.06595636732623034,0,2,2
